inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
HAZI M.A. KALAM DEGREE COLLEGE,103136,College,BANDARBAN,NAIKHONGCHHARI,NAIKHONGCHHARI,92.31722,21.64959,33,1
MATAMUHURI COLLEGE,103125,College,BANDARBAN,LAMA,COLLEGE GATE PARA,92.17003,21.72143,34,1
GOVT.BANDARBAN COLLEGE,103107,College,BANDARBAN,BANDARBAN SADAR,COLLEGE ROAD AREA,92.27985,22.20626,35,1
ALI KADAM ISLAMIA DAKIL MADMASHA,103090,Madrasha,BANDARBAN,ALIKADAM,ALIKADAM,90.34192,22.36308,2505,1
Cakdala Mahiussunnah Dakhil Madrasah,103133,Madrasha,BANDARBAN,NAIKHONGCHHARI,NAIKHONGCHHARI,92.31395,21.65011,2506,1
MADINATUL ULUM MODEL INSTITUTE DAKHIL MADRASAH.,103132,Madrasha,BANDARBAN,NAIKHONGCHHARI,NAIKHONGCHHARI,92.26344,21.64238,2507,1
BAIShARI SHAH NURUDDIN DAKHIL MADRASAh,103134,Madrasha,BANDARBAN,NAIKHONGCHHARI,BAISHARI,92.1826,21.41962,2508,1
DAKHIN  GHUMDHUM  MISKA TUL  NABI(S;)  DAKHIL  MADRASHA,103135,Madrasha,BANDARBAN,NAIKHONGCHHARI,GHUMDUM,92.18679,21.41703,2509,1
TAMIRE MILLAT ISLAMIA MADRASAH,103123,Madrasha,BANDARBAN,LAMA,CHAMBI,92.18506,21.2273,2510,1
LAMA ISLAMIA FHAZIL  (DEGREE) MADRASA,103121,Madrasha,BANDARBAN,LAMA,POPA,92.18762,21.79204,2511,1
LAINZIRY MOHAMMADIA ISLAMIA DAKHIL MADRASHA,103122,Madrasha,BANDARBAN,LAMA,CHHAGALKHAYA HEADMAN PARA,92.1996,21.78219,2512,1
HAIDAR NASHI MOHAMMADIA SUNNIA DAKHIL MADRASA,103124,Madrasha,BANDARBAN,LAMA,FASYAKHALI,92.20289,21.77281,2513,1
BANDARBAN ISLAMIA SENIOR MADRASHA,103105,Madrasha,BANDARBAN,BANDARBAN SADAR,BANDARBAN (PART),92.18392,22.28186,2514,1
ALIKADAM RESIDENTIAL SCHOOL,103087,School,BANDARBAN,ALIKADAM,TAIN,90.29817,22.26733,10638,1
ALIKADM GIRLS HIGH SCHOOL,103088,School,BANDARBAN,ALIKADAM,ALIKADAM,90.34561,22.35881,10639,1
ALIKADAM GOVT HIGH SCHOOL,103086,School,BANDARBAN,ALIKADAM,ALIKADAM,90.3185,22.35317,10640,1
CHAYKONG MODEL HIGH SCHOOL,103089,School,BANDARBAN,ALIKADAM,TAIN,90.34383,22.35353,10641,1
BAISHARI HIGH  SCHOOL,103129,School,BANDARBAN,NAIKHONGCHHARI,BAISHARI,92.26256,21.68242,10642,1
NAIKHONG CHARI GIRLS HIGH SCHOOL,103126,School,BANDARBAN,NAIKHONGCHHARI,NAIKHONGCHHARI,92.31193,21.64819,10643,1
GUMDHUM HIGH SCHOOL,103127,School,BANDARBAN,NAIKHONGCHHARI,GHUMDUM,92.18615,21.52031,10644,1
SONAICHARI JUNIOR HIGH SCHOOL,103131,School,BANDARBAN,NAIKHONGCHHARI,REJO,92.20279,21.36592,10645,1
CHAMBI HIGH SCHOOL,103109,School,BANDARBAN,LAMA,CHAMBI,92.19613,21.38151,10646,1
FAITONG  HIGH SCHOOL,103116,School,BANDARBAN,LAMA,FAITANG,92.17116,21.52516,10647,1
HAIDERNASHI HIGH SCHOOL,103115,School,BANDARBAN,LAMA,FASYAKHALI,92.19609,21.2316,10648,1
FASHIAKHALI HIGH SCHOOL,103110,School,BANDARBAN,LAMA,FASYAKHALI,92.17585,21.41979,10649,1
YEANGCHA JUNIOR HIGH SCHOOL,103118,School,BANDARBAN,LAMA,YANCHHA,92.07384,21.9048,10650,1
GAZALIA HIGH SCHOOL,103111,School,BANDARBAN,LAMA,GAJALIA,92.08829,21.89705,10651,1
LAMA ADARSHa GIRL'S HIGH SCHOOL,103113,School,BANDARBAN,LAMA,LAMA BAZAR PARA (PART),92.1064,21.81556,10652,1
LAMA GOVT. HIGH SCHOOL,103108,School,BANDARBAN,LAMA,NOA PARA,92.11563,21.68708,10653,1
LAMA MUKH HIGH SCHOOL,103117,School,BANDARBAN,LAMA,LAMAR MUKH PARA (PART),92.13845,21.66702,10654,1
RUPSIPARA JUNIOR HIGH SCHOOL,103114,School,BANDARBAN,LAMA,DARDARI,92.20447,21.78008,10655,1
HARGAZA JUNIOR HIGH SCHOOL,103120,School,BANDARBAN,LAMA,FASYAKHALI,92.20033,21.77183,10656,1
SARAI JONIOR HIGH SCHOOL,103112,School,BANDARBAN,LAMA,SARAI,92.22538,21.77178,10657,1
BALIPARA BAZAR JUNIOR HIGH SCHOOL,103147,School,BANDARBAN,THANCHI,THAINKHONG,92.21904,21.77239,10658,1
GOVT. THANCHI HIGH SCHOOL,103148,School,BANDARBAN,THANCHI,KHOWAKHYONG,92.21555,21.75057,10659,1
BEKHYONG JU HIGH SCHOOL,103138,School,BANDARBAN,ROWANGCHHARI,ALIKHONG,92.13627,21.68209,10660,1
ROWANGCHARI GOVT. HIGH SCHOOL,103137,School,BANDARBAN,ROWANGCHHARI,ROWANGCHHARI,92.2275,21.90179,10661,1
RUMA JUNIOR HIGH SCHOOL,103144,School,BANDARBAN,RUMA,POLI,92.21346,21.90048,10662,1
RUMA  GOVT HIGH  SCHOOL,103141,School,BANDARBAN,RUMA,POLI,92.38738,21.87742,10663,1
RUMA UPAJATIYO RESIDENCIAL HIGH SCHOOL,103143,School,BANDARBAN,RUMA,POLI,92.44691,21.81051,10664,1
BAGMARA JUNIOR HIGH SCHOOL,103095,School,BANDARBAN,BANDARBAN SADAR,MRUNG KHYONG,92.33772,22.16491,10666,1
CHEMEE DALU PARA HIGH SCHOOL,103102,School,BANDARBAN,BANDARBAN SADAR,CHEMI,92.40873,22.03685,10667,1
RAICHA HIGH SCHOOL,103101,School,BANDARBAN,BANDARBAN SADAR,BANDARBAN (PART),92.41148,22.046,10668,1
DONBOSCO HIGH SCHOOL,103091,School,BANDARBAN,BANDARBAN SADAR,JADHI PARA,92.40222,22.05726,10669,1
BANDARBAN GOVERMENT HIGH SCHOOL,103092,School,BANDARBAN,BANDARBAN SADAR,BANDARBAN (PART),92.19055,22.31799,10670,1
SANGu HIGH SCHOOL,103103,School,BANDARBAN,BANDARBAN SADAR,BUS STAND,92.28523,22.23591,10671,1
BANDARBAN GOVT.GIRLS HIGH SCHOOL,103093,School,BANDARBAN,BANDARBAN SADAR,RAJBARI AREA,92.2237,22.19686,10672,1
AL FARUK INSTITUTE,103099,School,BANDARBAN,BANDARBAN SADAR,ARMY PARA,92.22521,22.19735,10673,1
CHIMBUK JUNIOR HIGH SCHOOL,103100,School,BANDARBAN,BANDARBAN SADAR,BANDARBAN (PART),92.2264,22.19904,10674,1
BALAGHATA BILKIcH BEGUM HIGH SCHOOL,103097,School,BANDARBAN,BANDARBAN SADAR,BALAGHATA (PART),92.22552,22.19569,10675,1
SUALOK HIGH SCHOOL,103098,School,BANDARBAN,BANDARBAN SADAR,SUWALAK,92.23019,22.18984,10676,1
MRO RESIDENTIAL HIGH SCHOOL;,103096,School,BANDARBAN,BANDARBAN SADAR,SUWALAK,92.21992,22.19521,10677,1
